id,group,layout
anticeres_1,anticeres,auto
anticeres_2,anticeres,auto
anticeres_3,anticeres,auto
cahl07_1,cahl07,auto
cahl07_2,cahl07,auto
cahl07_3,cahl07,auto
csks_1,csks,auto
csks_2,csks,auto
csks_3,csks,auto
ctal_1_1,ctal,auto
ctal_2_1,ctal,auto
ctal_3_1,ctal,auto
OXAHL07_1,OXAHL07,auto
OXAHL07_2,OXAHL07,auto
OXAHL07_3,OXAHL07,auto
OXSKS_1,OXSKS,auto
OXSKS_2,OXSKS,auto
OXSKS_3,OXSKS,auto
OXTAL_1,OXTAL,auto
OXTAL_2,OXTAL,auto
OXTAL_3,OXTAL,auto
TVCERES_1,TVCERES,auto
TVCERES_2,TVCERES,auto
TVCERES_3,TVCERES,auto
WT_1,control,auto
WT_2,control,auto
WT_3,control,auto
